Var1,fcname,ela_distr_skewness,ela_distr_kurtosis,ela_distr_number_of_peaks,ela_level_mmce_lda_10,ela_level_mmce_qda_10,ela_level_mmce_mda_10,ela_level_lda_qda_10,ela_level_lda_mda_10,ela_level_qda_mda_10,ela_level_mmce_lda_25,ela_level_mmce_qda_25,ela_level_mmce_mda_25,ela_level_lda_qda_25,ela_level_lda_mda_25,ela_level_qda_mda_25,ela_level_mmce_lda_50,ela_level_mmce_qda_50,ela_level_mmce_mda_50,ela_level_lda_qda_50,ela_level_lda_mda_50,ela_level_qda_mda_50,ela_meta_lin_simple_adj_r2,ela_meta_lin_simple_intercept,ela_meta_lin_simple_coef_min,ela_meta_lin_simple_coef_max,ela_meta_lin_simple_coef_max_by_min,ela_meta_lin_w_interact_adj_r2,ela_meta_quad_simple_adj_r2,ela_meta_quad_simple_cond,ela_meta_quad_w_interact_adj_r2,disp_ratio_mean_02,disp_ratio_mean_05,disp_ratio_mean_10,disp_ratio_mean_25,disp_ratio_median_02,disp_ratio_median_05,disp_ratio_median_10,disp_ratio_median_25,disp_diff_mean_02,disp_diff_mean_05,disp_diff_mean_10,disp_diff_mean_25,disp_diff_median_02,disp_diff_median_05,disp_diff_median_10,disp_diff_median_25,limo_avg_length_reg,limo_avg_length_norm,limo_length_mean,limo_ratio_mean,nbc_nn_nb_sd_ratio,nbc_nn_nb_mean_ratio,nbc_nn_nb_cor,nbc_dist_ratio_coeff_var,nbc_nb_fitness_cor,pca_expl_var_cov_x,pca_expl_var_cor_x,pca_expl_var_cov_init,pca_expl_var_cor_init,pca_expl_var_PC1_cov_x,pca_expl_var_PC1_cor_x,pca_expl_var_PC1_cov_init,pca_expl_var_PC1_cor_init,ic_h_max,ic_eps_s,ic_eps_max,ic_eps_ratio,ic_m0
1,F10_D41_I10_S100,1.78426343344548,4.94724174700767,2,0.102731707317073,0.0785853658536585,0.102146341463415,1.31146969083619,1.00577120551695,0.769730416432932,0.162243902439024,0.124292682926829,0.160146341463415,1.30564497793875,1.01329599174077,0.776648741865215,0.146243902439024,0.122048780487805,0.139951219512195,1.19923558223233,1.04578384347279,0.872766357861942,0.687254860997205,0.172836038254178,0.00522859122013851,1.06024448150527,351.618095828372,0.959217013408345,0.711153966647253,260.572477078635,1.00052765712928,0.951025306243256,0.956977382631851,0.965668871569612,0.978423564642561,0.951500215290805,0.956761744508202,0.965531053993421,0.978413561229119,-0.127491135614233,-0.111996625003388,-0.0893708790504273,-0.0561678208827731,-0.12632326980061,-0.112618783667414,-0.0897782181370473,-0.056224226422431,2.87735273462592,1,2.87735273462592,351.618095828372,0.887453398999989,0.97116491063003,0.695511960893248,0.0448297729309887,-0.319609762568466,0.902439024390244,0.902439024390244,0.857142857142857,0.880952380952381,0.025520786295633,0.0255198858576611,0.239736967685073,0.0436168918134043,0.842572319273357,0.321321321321321,0.187315210707365,-0.439439439439439,0.607759882869693
2,F10_D41_I11_S100,1.32782296623199,3.21843763276239,1,0.0898048780487805,0.077609756097561,0.0888780487804878,1.15836417775287,1.01066007369192,0.873317262964684,0.142487804878049,0.117219512195122,0.140634146341463,1.2175502772236,1.0133422268611,0.833773301917377,0.150195121951219,0.122439024390244,0.145463414634146,1.22838130971425,1.03268464115515,0.84195367659844,0.703186189519575,-1.14399522003587,0.0133075518217566,1.26560098041147,119.277471272625,0.958529292144122,0.724426666336247,67.9357283644634,1.00057742009507,0.944617568052733,0.95527059757402,0.963789631978164,0.977094254101025,0.943687171698781,0.954850615288289,0.963537875425432,0.976942761850286,-0.144171844401126,-0.116439571548919,-0.0942628420715266,-0.059628298344726,-0.146674706626377,-0.117596501224775,-0.0949697106957527,-0.0600552807724516,2.90953493210775,1,2.90953493210775,119.277471272625,0.890736022419831,0.971812286356696,0.709626166105732,0.0438023363471544,-0.339608359667711,0.902439024390244,0.902439024390244,0.857142857142857,0.880952380952381,0.025520786295633,0.0255198858576611,0.24002877149676,0.0438485530447287,0.847472273050256,0.261261261261261,0.198049641436364,-0.423423423423423,0.597413372376769
3,F10_D41_I12_S100,1.38848135136411,3.35075891075569,1.4,0.105609756097561,0.083219512195122,0.105804878048781,1.27041200100804,0.998134178111276,0.786710703491944,0.262780487804878,0.149560975609756,0.25980487804878,1.75858201297261,1.01150246128519,0.575568803530942,0.305317073170732,0.173853658536585,0.267317073170732,1.7576242771723,1.14389918707506,0.650769844169419,0.286025756600662,1.23899038095714,0.00626788077867422,0.769109127454881,211.243348186442,0.924802887535857,0.343016199877231,69.1251887007042,1.0003006446875,0.959418122063761,0.965170212339403,0.968239061283936,0.978052091374045,0.95946331344114,0.965355839942636,0.968245975230779,0.977980464690826,-0.105642924319379,-0.0906688841293412,-0.0826802708281911,-0.0571348421397993,-0.105582963099619,-0.0902345908015238,-0.0827073847048107,-0.0573524740907309,1.87526622106853,1,1.87526622106853,211.243348186442,0.881932630202441,0.971650943851532,0.683943654891783,0.0455631943433641,-0.34781216963849,0.902439024390244,0.902439024390244,0.880952380952381,0.904761904761905,0.025520786295633,0.0255198858576611,0.23224910226854,0.03672175617086,0.84900443770597,0.293293293293293,0.230018442872311,-0.371371371371371,0.612103465104929
4,F10_D41_I13_S100,1.16638312456968,2.14385528294125,1.4,0.0848292682926829,0.0767317073170732,0.0857560975609756,1.10750872248145,0.989304381248932,0.894529405028762,0.140585365853658,0.116487804878049,0.141365853658537,1.20717132765108,0.994853085150562,0.824630223216073,0.154585365853659,0.124975609756097,0.148975609756097,1.23893251785707,1.03750810196098,0.839119460575386,0.71775949405093,-1.50365709172592,0.0440435283955962,1.05930904972162,32.8383587007338,0.962109753807035,0.739916075332704,131.377195442848,1.00044243515689,0.944994526611555,0.954641838320849,0.963987869932525,0.976151792671914,0.945028514166664,0.954407705183051,0.963717181422503,0.975977628210638,-0.143190295376876,-0.118076224183405,-0.0937467911425773,-0.0620816628166929,-0.143178721952406,-0.118749732056269,-0.0945025280722579,-0.0625689539687459,2.94092554414659,1,2.94092554414659,32.8383587007338,0.889421002791563,0.971810556727066,0.711083843641359,0.0437070474039884,-0.340594120939313,0.902439024390244,0.902439024390244,0.857142857142857,0.880952380952381,0.025520786295633,0.0255198858576611,0.240271452784203,0.044018447728106,0.84687242593042,0.245245245245245,0.213477022380118,-0.403403403403403,0.594338701805759
5,F10_D41_I14_S100,1.74423499203149,5.40934010259721,2.6,0.106780487804878,0.0801951219512195,0.105804878048781,1.33158147603632,1.00923417273489,0.758308678185299,0.173609756097561,0.129463414634146,0.169951219512195,1.34235770210617,1.02121586743165,0.76220560627979,0.162731707317073,0.131951219512195,0.154878048780488,1.23730120807313,1.05108647672713,0.852650415188717,0.654788989421396,-0.177155474744682,0.0123631015909748,1.22665697520007,346.295933627391,0.953035317098297,0.684402358011219,186.514020413535,1.0004886284651,0.954583167236445,0.958667704186808,0.966111950979451,0.976837029130534,0.953807637379631,0.958253024924456,0.965651031970224,0.97658351127394,-0.118229043792357,-0.107596513322428,-0.0882173614548271,-0.0602978618308726,-0.12031324999187,-0.108735664079639,-0.0894654520931456,-0.0609906618763386,2.81050434786444,1,2.81050434786444,346.295933627391,0.881898976959735,0.971593817125406,0.693113294838718,0.0449034783161841,-0.331342027459309,0.902439024390244,0.902439024390244,0.857142857142857,0.880952380952381,0.025520786295633,0.0255198858576611,0.239140613907927,0.0431374532116329,0.845850523859588,0.309309309309309,0.194500050767817,-0.431431431431431,0.602537823328453
6,F10_D41_I15_S100,1.21688171811218,1.98646254522019,1.4,0.109121951219512,0.0841951219512195,0.109853658536585,1.2967764357332,0.993378767901518,0.766568769215919,0.241268292682927,0.151512195121951,0.238292682926829,1.59264693467243,1.01296756104514,0.636472039990821,0.261658536585366,0.160634146341464,0.233560975609756,1.63119019095506,1.12172631461998,0.688358439581406,0.41897701964647,0.175335643502124,0.00563852960827807,0.720779530391925,240.067934384726,0.945481122579435,0.458499964342276,27.1968266969213,1.0002975400494,0.948320257278959,0.959778376142059,0.967741547425534,0.977446047055622,0.947736875776324,0.959430608949511,0.967535983234982,0.97739340717631,-0.134533006564745,-0.104705040801499,-0.0839752882553276,-0.0587125776246677,-0.136125753750602,-0.105667751757996,-0.0845564996671777,-0.0588818115643943,2.25754787367189,1,2.25754787367189,240.067934384726,0.882839851057297,0.971625642237932,0.691916705155599,0.0449398193075958,-0.350025126620134,0.902439024390244,0.902439024390244,0.880952380952381,0.904761904761905,0.025520786295633,0.0255198858576611,0.234783483117666,0.0393418920641225,0.850658043486923,0.273273273273273,0.223530454337661,-0.375375375375375,0.612933138116154
7,F10_D41_I1_S100,1.6332501736186,4.07417652665734,1.8,0.0893658536585366,0.0785853658536585,0.0884878048780488,1.13717890299219,1.0099046421803,0.889179912272655,0.133756097560975,0.114048780487805,0.133170731707317,1.17420542502377,1.00453109204081,0.855946347410068,0.130731707317073,0.11190243902439,0.129121951219512,1.17094225712257,1.01263251075574,0.867858416877305,0.736012082680302,-1.26990272895927,0.00524988857124124,1.10056459167995,227.53078907444,0.966095194723518,0.755605975813117,69.0363604403042,1.00048000688643,0.938529436781165,0.954357578847991,0.963795532637612,0.976698402322785,0.937958316339416,0.953979047689508,0.963724168690716,0.976674790817176,-0.160020280051323,-0.118816316731413,-0.0942473777512399,-0.060658689022738,-0.16159548775869,-0.119866658656972,-0.09448424122602,-0.0607529902095882,2.9756123415417,1,2.9756123415417,227.53078907444,0.892788306452067,0.971879168694586,0.708793874629487,0.0438245485779348,-0.316736972425668,0.902439024390244,0.902439024390244,0.857142857142857,0.880952380952381,0.025520786295633,0.0255198858576611,0.240623229548913,0.0443147777363655,0.843805637454485,0.281281281281281,0.177515631085523,-0.463463463463463,0.594729136163982
8,F10_D41_I2_S100,1.28053789109716,2.90823847653736,1.2,0.103121951219512,0.0812682926829268,0.102829268292683,1.26964090267754,1.00312660521372,0.791384389841732,0.216780487804878,0.140146341463415,0.214243902439024,1.54988850204031,1.01189622978111,0.653783104500113,0.232048780487805,0.154097560975609,0.211658536585366,1.50876419627099,1.09665020459541,0.72783828438493,0.501794880238476,-0.786859030008497,0.0146755734631868,1.09850046695666,91.5316294700779,0.942412033556427,0.546235859941365,83.4636566284276,1.00037443587214,0.946757736579067,0.955777016070235,0.965079863964871,0.97603663042157,0.946395629708468,0.955292166646739,0.964933938578011,0.975933973183527,-0.138600440548721,-0.115121380797937,-0.0909041562575822,-0.0623815852890475,-0.139618397821904,-0.116446521969315,-0.0913334862313776,-0.062683008063201,2.46632529872076,1,2.46632529872076,91.5316294700779,0.891131586619405,0.971939235499819,0.696506175914491,0.0446430634682203,-0.350047571740353,0.902439024390244,0.902439024390244,0.880952380952381,0.890476190476191,0.025520786295633,0.0255198858576611,0.236327319143138,0.0407599903112925,0.852454581666527,0.265265265265265,0.225521508062207,-0.371371371371371,0.615519765739385
9,F10_D41_I3_S100,1.35849302486752,2.99530804729325,1.6,0.0893170731707317,0.0764878048780488,0.0886829268292683,1.16803926821995,1.00727626440586,0.862966488916046,0.146682926829268,0.114243902439025,0.144634146341463,1.28422843938302,1.01444072286831,0.790336036603419,0.150243902439024,0.120341463414634,0.14380487804878,1.24892342398384,1.04562113306071,0.838109662689857,0.703452828044313,-2.99034395372713,0.0108769647611935,1.16874937550945,185.021115279793,0.961747480160511,0.727329939946644,121.03417344509,1.00046236209124,0.942591877396682,0.955350674511631,0.963716108094799,0.976783154740914,0.94225164188075,0.9549225369219,0.963564975112559,0.976586926699248,-0.149444961162098,-0.116231192316533,-0.0944544172326642,-0.0604381335694651,-0.15041175958063,-0.117409200997373,-0.0948996794194551,-0.0609820263887711,2.91170680383003,1,2.91170680383003,185.021115279793,0.888255403840368,0.971726274001512,0.705894306213356,0.0441974135673527,-0.342845710475134,0.902439024390244,0.902439024390244,0.857142857142857,0.880952380952381,0.025520786295633,0.0255198858576611,0.240015779993524,0.0438208518065938,0.847252406899422,0.285285285285285,0.213101096410891,-0.411411411411411,0.599365544167887
10,F10_D41_I4_S100,1.08619101449797,2.02598156117162,1,0.105170731707317,0.0834634146341463,0.104780487804878,1.26220495939838,1.00388402518549,0.79719296570687,0.235268292682927,0.149024390243903,0.232780487804878,1.5794743709226,1.01093728904633,0.640584319413792,0.284195121951219,0.166146341463415,0.260975609756097,1.71286495772132,1.08928553970103,0.636743323967852,0.358725669274296,-1.26222407593315,0.01544868636338,0.797455769709409,404.763455681432,0.929191642183094,0.415009821831619,39.5311664921868,1.00032840879246,0.951319539850919,0.955678968459496,0.963718005807376,0.975532738326119,0.950355131903427,0.955274563330927,0.96333050186836,0.97532146243819,-0.12672488599909,-0.115376669315412,-0.0944493983827583,-0.0636932828221112,-0.129304344614375,-0.116492301895785,-0.0955099991242621,-0.0642784192594605,2.09396846017635,1,2.09396846017635,404.763455681432,0.889872756883806,0.972368947683861,0.693295104262891,0.0446386540436056,-0.369990484091842,0.902439024390244,0.902439024390244,0.880952380952381,0.904761904761905,0.025520786295633,0.0255198858576611,0.233635656840071,0.0381965610416945,0.85661024645232,0.253253253253253,0.238564181895611,-0.347347347347347,0.615959004392386
